osm_id,name,surface,tracktype,smoothness,width,length_km,premium_score,premium_tier,access,bicycle,highway,start_lat,start_lon,end_lat,end_lon,score_surface,score_tracktype,score_smoothness,score_traffic,score_width,score_access
319323570,Grobla Janowicko-Swojczycka,compacted,,intermediate,,0.48,77,Good,yes,designated,path,51.084157,17.154021,51.080487,17.157309,20,15,15,15,7,5
321051794,,compacted,grade2,,,0.65,77,Good,yes,yes,track,51.185015,17.190096,51.188309,17.197243,20,23,12,10,7,5
322462425,Grobla Janowicko-Swojczycka,compacted,,intermediate,,0.43,77,Good,yes,designated,path,51.087724,17.15739,51.08466,17.153883,20,15,15,15,7,5
336755931,,compacted,grade2,,,1.39,77,Good,yes,yes,track,51.009362,17.321179,51.015048,17.309315,20,23,12,10,7,5
336913654,Wał Kotowice-Siedlce,compacted,grade2,,,2.46,77,Good,yes,yes,track,51.005507,17.280451,50.987668,17.291441,20,23,12,10,7,5
348840794,,fine_gravel,grade3,intermediate,,1.19,77,Good,yes,yes,track,51.202999,16.950438,51.204467,16.963075,25,15,15,10,7,5
352993963,,compacted,grade2,,,0.8,77,Good,yes,yes,track,50.981052,17.384915,50.975272,17.378113,20,23,12,10,7,5
358271616,,gravel,,good,,1.41,77,Good,yes,yes,service,51.334875,16.931652,51.332903,16.912545,22,15,18,10,7,5
369662782,Grobla Szczytnicko-Bartoszowicka,compacted,,intermediate,,0.59,77,Good,yes,designated,path,51.107392,17.069895,51.103256,17.071545,20,15,15,15,7,5
374225374,,compacted,grade2,,,0.58,77,Good,yes,yes,track,50.729314,16.829137,50.732183,16.835677,20,23,12,10,7,5
385874149,,gravel,,good,,0.21,77,Good,yes,yes,service,51.286816,17.336036,51.285032,17.334995,22,15,18,10,7,5
387709728,,compacted,grade2,,,0.67,77,Good,yes,yes,track,51.155249,17.091939,51.153997,17.101309,20,23,12,10,7,5
387709729,,compacted,grade2,,,0.56,77,Good,yes,yes,track,51.157732,17.084956,51.155249,17.091939,20,23,12,10,7,5
387806454,,compacted,grade2,,,0.26,77,Good,yes,yes,track,50.819894,16.690254,50.821453,16.692698,20,23,12,10,7,5
